id,roundId,easting,northing,depotId,dayId
5000,5_1,532793.3532,181269.2032,2,1
5002,0_1,533397.4017,179296.5289,1,1
5004,0_1,533319.8063,180141.0295,1,1
5005,3_1,533769.7226,181980.3998,4,1
5007,7_1,531202.6456,181172.0657,4,1
5008,4_1,532270.7849,180165.0652,1,1
5009,0_1,533015.5223,179767.7101,1,1
5010,1_1,531923.5196,181784.5626,2,1
5011,3_1,533281.9033,181384.2171,4,1
5012,7_1,531113.3547,181069.286,4,1
5013,6_1,533493.8074,180853.6096,3,1
5014,3_1,533306.9214,181457.8223,4,1
5016,2_1,531386.6011,180154.1489,3,1
5018,1_1,531481.7867,181812.9262,2,1
5019,4_1,531767.6012,179537.7457,1,1
5020,1_1,531417.2875,181915.8725,2,1
5021,0_1,533580.7086,179379.0117,1,1
5022,3_1,533186.5122,181532.4232,4,1
5025,1_1,531559.9763,181373.2444,2,1
5027,2_1,530927.4491,179319.388,3,1
5028,5_1,532307.4452,181172.4764,2,1
5029,0_1,533222.9079,180210.5931,1,1
5030,5_1,532525.1137,181820.2854,2,1
5032,0_1,533793.3911,179288.0656,1,1
5033,4_1,532737.0632,179938.659,1,1
5034,2_1,531464.8487,179264.5631,3,1
5035,4_1,532049.6582,179332.5585,1,1
5036,2_1,531263.352,179927.9587,3,1
5037,4_1,532376.1284,179289.4979,1,1
5039,6_1,534092.8946,180785.4478,3,1
5040,0_1,532741.8559,179568.2939,1,1
5041,7_1,530676.0778,180745.1357,4,1
5042,2_1,530978.4595,179863.7904,3,1
5043,2_1,531298.7094,180308.1926,3,1
5045,1_1,532348.2805,181977.8886,2,1
5046,4_1,532446.2333,179539.933,1,1
5047,7_1,530780.5674,180756.4308,4,1
5048,0_1,533248.4127,179823.7036,1,1
5049,6_1,534060.881,180547.2821,3,1
5050,3_1,533784.345,181809.0603,4,1
5051,7_1,530941.5991,181390.2578,4,1
5053,6_1,533474.4445,180930.5661,3,1
5054,5_1,533161.3236,181253.266,2,1
5055,2_1,531130.8259,179769.8159,3,1
5056,4_1,532218.8879,179537.6851,1,1
5058,3_1,533652.1668,181667.0201,4,1
5059,0_1,533210.8751,179661.7903,1,1
5060,0_1,533980.2361,179694.744,1,1
5061,2_1,531119.0336,179908.2964,3,1
5062,4_1,532140.9655,180406.3087,1,1
5063,1_1,532052.0784,181525.6984,2,1
5064,3_1,534015.7443,181978.3864,4,1
5065,2_1,530921.9946,180128.9131,3,1
5066,7_1,530834.6402,181181.0787,4,1
5070,7_1,531253.1591,180886.3929,4,1
5071,5_1,532843.1791,181357.5748,2,1
5073,2_1,531091.7663,179697.6021,3,1
5074,6_1,533862.6459,180376.6636,3,1
5075,4_1,531876.512,180233.5662,1,1
5076,3_1,533483.7052,181683.2617,4,1
5077,1_1,531620.0527,181666.7425,2,1
5078,5_1,532745.4779,180821.8595,2,1
5079,3_1,533129.2054,181497.7632,4,1
5080,0_1,532871.8431,179401.614,1,1
5081,2_1,531154.0966,180075.6928,3,1
5082,7_1,530657.8366,181652.4196,4,1
5083,3_1,533692.7081,181458.1866,4,1
5085,7_1,530945.1986,181651.0641,4,1
5087,4_1,532577.9905,179584.1606,1,1
5088,0_1,533659.2936,179573.2794,1,1
5090,1_1,532102.4749,181844.7478,2,1
5091,1_1,531434.4388,181733.0425,2,1
5092,6_1,534040.6703,180783.8355,3,1
5094,0_1,533922.9429,179386.5591,1,1
5095,5_1,532973.6684,181782.0804,2,1
5096,7_1,530684.3273,181081.8494,4,1
5097,0_1,532757.2681,179539.8975,1,1
5098,7_1,530767.914,181079.5324,4,1
